Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor,ProductoNormalizado
1881,Jumbo,Dagoat,Leche De Cabra Polvo Dagoat Entera 400 G,9190,Leche Entera,https://www.jumbo.cl/leche-en-polvo-cabra-entera-400-gr/p,2024-10-06,,400g cabra dagoat dagoat entera leche polvo
1882,Jumbo,Dagoat,Leche De Cabra Polvo Dagoat Entera 400 G,9190,Leche Entera,https://www.jumbo.cl/leche-en-polvo-cabra-entera-400-gr/p,2024-10-26,,400g cabra dagoat dagoat entera leche polvo
1883,Jumbo,Nido,Leche Polvo Nido Entera 800 G,9190,Leche Entera,https://www.jumbo.cl/leche-en-polvo-nido-entera-bolsa-800gr-1930446/p,2024-10-06,,800g entera leche nido nido polvo
1884,Unimarc,Nido,Leche En Polvo Nido Entera 800 G,9190,Leche Entera,https://www.unimarc.cl/product/leche-en-polvo-intantanea-nido-800-gr,2024-11-11,,800g en entera leche nido nido polvo
1885,Jumbo,Nido,Leche Polvo Nido Entera 800 G,9190,Leche Entera,https://www.jumbo.cl/leche-en-polvo-nido-entera-bolsa-800gr-1930446/p,2024-10-26,,800g entera leche nido nido polvo
1886,Jumbo,Dagoat,Leche De Cabra Polvo Dagoat Entera 400 G,9190,Leche Entera,https://www.jumbo.cl/leche-en-polvo-cabra-entera-400-gr/p,2024-11-02,,400g cabra dagoat dagoat entera leche polvo
1887,Unimarc,Nido,Leche En Polvo Nido Entera 800 G,9190,Leche Entera,https://www.unimarc.cl/product/leche-en-polvo-intantanea-nido-800-gr,2024-10-01,,800g en entera leche nido nido polvo
1888,Santa Isabel,Nido,Leche Polvo Nido Entera 1.1 Kg,9490,Leche Entera,https://www.santaisabel.cl/leche-polvo-nido-entera-1100g-1935302/p,2024-10-26,,1.1kg entera leche nido nido polvo
1889,Jumbo,Nido,Leche Polvo Nido Entera 1.1 Kg,9990,Leche Entera,https://www.jumbo.cl/leche-polvo-nido-entera-1100g-1935302/p,2024-10-26,,1.1kg entera leche nido nido polvo
1890,Jumbo,Nido,Leche Polvo Nido Entera 1.35 Kg,10283,Leche Entera,https://www.jumbo.cl/leche-en-polvo-entera-nido-1-35kg-1932750/p,2024-10-01,,1.35kg entera leche nido nido polvo
